,best,worst,mean,generations
0,93.6,-302.6,-132.66,0
1,146.0,-295.4,-156.74,1
2,174.8,-209.0,-68.88,2
3,3.0,-315.6,-149.32,3
4,49.8,-320.8,-136.26,4
5,229.6,-245.6,-56.96,5
6,-9.4,-269.8,-119.53999999999999,6
7,233.4,-267.0,-68.64000000000001,7
8,192.6,-245.6,-114.88,8
9,306.8,-303.2,-68.89999999999998,9
10,127.8,-284.8,-98.38,10
11,203.2,-288.8,-155.22,11
12,118.0,-260.2,-148.34,12
13,58.0,-203.0,-129.32,13
14,64.0,-278.6,-173.7,14
15,134.6,-289.2,-123.9,15
16,-17.0,-304.8,-150.52,16
17,117.4,-253.0,-116.55999999999999,17
18,138.4,-284.8,-139.32,18
19,-18.0,-245.4,-139.34,19
20,-33.4,-252.8,-179.85999999999999,20
21,151.4,-323.2,-151.12,21
22,137.2,-343.6,-119.1,22
23,7.8,-329.2,-166.56,23
24,79.6,-279.6,-150.26,24
25,-66.0,-295.2,-188.82,25
26,-95.8,-338.8,-192.96,26
27,23.2,-337.8,-182.89999999999998,27
28,93.4,-260.6,-149.0,28
29,-105.8,-294.2,-192.84000000000003,29
30,-10.0,-316.0,-180.17999999999998,30
31,-113.6,-284.6,-191.2,31
32,40.6,-226.2,-104.78,32
33,24.4,-287.6,-128.35999999999999,33
34,86.0,-238.4,-107.12,34
35,340.0,-258.6,-95.74000000000001,35
36,105.6,-272.8,-120.24000000000001,36
37,2.0,-313.6,-153.24,37
38,146.0,-318.6,-95.42,38
39,109.6,-250.0,-153.14000000000001,39
40,302.8,-243.4,-106.1,40
41,125.0,-292.2,-72.25999999999999,41
42,102.2,-236.2,-111.58,42
43,84.4,-291.4,-141.32,43
44,217.2,-303.8,-116.97999999999999,44
45,-7.6,-312.0,-191.16,45
46,-14.6,-272.8,-158.98,46
47,127.2,-192.4,-67.62,47
48,49.2,-283.4,-169.01999999999998,48
49,13.2,-314.2,-170.06,49
50,-37.2,-288.4,-183.51999999999998,50
51,204.8,-336.4,-89.55999999999999,51
52,-17.4,-344.4,-155.28000000000003,52
53,13.2,-257.0,-133.85999999999999,53
54,76.0,-277.0,-90.42,54
55,86.6,-296.0,-138.8,55
56,368.2,-286.4,-65.62,56
57,-45.2,-224.4,-168.7,57
58,-45.2,-308.8,-190.42,58
59,84.0,-286.8,-155.02,59
60,204.4,-254.6,-114.32000000000001,60
61,141.8,-269.2,-138.18,61
62,17.4,-269.0,-155.6,62
63,146.8,-301.6,-167.35999999999999,63
64,97.4,-233.2,-36.480000000000004,64
65,237.2,-316.4,-98.69999999999999,65
66,-41.0,-302.8,-169.66,66
67,158.8,-320.4,-124.16,67
68,-44.0,-332.4,-168.5,68
69,194.8,-277.0,-131.88,69
70,37.6,-266.6,-168.8,70
71,62.6,-301.4,-164.3,71
72,229.0,-320.4,-148.56,72
73,47.2,-258.0,-141.36,73
74,7.6,-250.6,-107.58,74
75,85.0,-261.8,-112.05999999999999,75
76,147.6,-302.4,-167.22000000000003,76
77,71.8,-231.8,-124.2,77
78,31.8,-316.4,-151.92000000000002,78
79,-47.6,-283.0,-150.12,79
80,199.4,-281.6,-156.95999999999998,80
81,-11.6,-296.6,-164.01999999999998,81
82,-87.0,-207.6,-138.25999999999996,82
83,99.4,-290.2,-162.86,83
84,378.6,-346.4,-106.94000000000001,84
85,51.0,-294.2,-134.62,85
86,99.6,-267.0,-106.47999999999999,86
87,264.2,-214.2,-107.8,87
88,112.6,-298.0,-99.9,88
89,-25.2,-308.2,-178.32,89
90,16.6,-313.8,-139.66,90
91,32.2,-347.8,-212.36000000000004,91
92,101.0,-293.8,-190.5,92
93,-45.0,-270.6,-171.97999999999996,93
94,102.0,-292.0,-153.62,94
95,-93.8,-294.2,-199.57999999999998,95
96,334.8,-280.0,-88.02000000000001,96
97,111.4,-287.6,-110.3,97
98,316.6,-251.8,-85.3,98
99,158.6,-272.0,-126.24000000000001,99
100,241.2,-243.6,33.499999999999986,100
