,best,worst,generations
0,-75.73333333333333,-272.26666666666665,0
1,-135.73333333333332,-309.46666666666664,1
2,-177.73333333333332,-285.4,2
3,-216.06666666666666,-311.6666666666667,3
4,-95.86666666666666,-273.3333333333333,4
5,-93.66666666666667,-309.6,5
6,-213.73333333333332,-302.1333333333333,6
7,-183.0,-308.4,7
8,-120.6,-298.46666666666664,8
9,-127.73333333333333,-279.6,9
10,-155.2,-288.93333333333334,10
11,-146.6,-347.93333333333334,11
12,-167.6,-268.26666666666665,12
13,-140.4,-291.4,13
14,-55.4,-297.1333333333333,14
15,-136.46666666666667,-254.6,15
16,-163.26666666666668,-286.8,16
17,-192.0,-284.93333333333334,17
18,-77.73333333333333,-304.06666666666666,18
19,-156.46666666666667,-307.26666666666665,19
20,-126.8,-261.93333333333334,20
